                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9766,                 4.1677,                 3.1141,                0.47138,                0.12817,                0.13873,                0.08282,                 2.0464,                 3.0704,                 2.4928,                0.07005,              0.0033278,              0.0033278
                      2,                 1.4984,                 1.7001,                 1.7875,                0.49235,                0.29165,                0.23023,                0.14221,                 1.5235,                 3.3088,                  1.983,               0.039984,              0.0065952,              0.0065952
                      3,                 1.1897,                  1.265,                 1.5099,                0.69896,                0.25756,                0.28258,                0.19857,                 1.3032,                 2.1148,                   1.78,              0.0098519,              0.0097966,              0.0097966
                      4,                 1.0172,                  1.012,                  1.364,                0.53185,                0.39189,                0.39567,                0.27051,                 1.1794,                 1.8464,                 1.6429,               0.009703,               0.009703,               0.009703
                      5,                 0.9051,                  0.832,                  1.276,                0.66792,                 0.4682,                0.50169,                0.35661,                0.94492,                 1.4295,                 1.4238,               0.009703,               0.009703,               0.009703
                      6,                 0.8367,                0.73952,                 1.2195,                0.66283,                0.65913,                0.70081,                 0.5176,                0.76671,                0.71525,                 1.2567,               0.009604,               0.009604,               0.009604
                      7,                0.79989,                0.68125,                 1.2006,                0.72041,                0.65099,                0.68592,                0.50584,                0.76223,                0.87932,                 1.2515,               0.009505,               0.009505,               0.009505
                      8,                0.76183,                0.64542,                   1.17,                0.73737,                 0.6471,                0.68481,                0.50351,                0.80612,                0.90613,                 1.2818,               0.009406,               0.009406,               0.009406
                      9,                0.74325,                 0.6026,                 1.1572,                0.77576,                0.72153,                0.79619,                0.59909,                0.72357,                 0.6455,                 1.2079,               0.009307,               0.009307,               0.009307
                     10,                0.73214,                0.59025,                  1.148,                0.82763,                0.87439,                0.88457,                0.68903,                0.63091,                 0.4899,                 1.1354,               0.009208,               0.009208,               0.009208
